,NPM,NAA,NLK,NLM,NAU
290,[7.344709780377919e-08],[0.0019801174736619855],[3.5507978770620566e-08],[4.7432804722057996e-08],[0.34542294464396606]
291,[6.736347659585515e-08],[0.0019799094771409268],[3.162979739330782e-08],[4.3280317257879114e-08],[0.2776782543414525]
292,[7.765546982946199e-08],[0.00197995039334136],[3.455395006045013e-08],[4.6418327161857714e-08],[0.31252649317264397]
293,[7.415988892422207e-08],[0.001979844200574276],[3.4694736178545925e-08],[4.740683779989539e-08],[0.31317879241117746]
294,[8.414763035665593e-08],[0.0019798982372620138],[3.739542068298705e-08],[5.372221966990854e-08],[0.5033381773007922]
295,[8.267254091039746e-08],[0.001980141896641447],[3.951330920285026e-08],[5.815844459841715e-08],[0.5831273889348451]
296,[8.867285293086762e-08],[0.001980233453585701],[3.885086729512927e-08],[5.4298062989137224e-08],[0.4790916701493404]
297,[7.754742038446586e-08],[0.0019802090606207898],[3.8111464364089276e-08],[5.6479596260678966e-08],[0.4563181941968045]
298,[7.344709780377919e-08],[0.0019801174736619855],[3.5507978770620566e-08],[4.7432804722057996e-08],[0.34542294464396606]
299,[6.736347659585515e-08],[0.0019799094771409268],[3.162979739330782e-08],[4.3280317257879114e-08],[0.2776782543414525]
300,[7.765546982946199e-08],[0.00197995039334136],[3.455395006045013e-08],[4.6418327161857714e-08],[0.31252649317264397]
301,[7.415988892422207e-08],[0.001979844200574276],[3.4694736178545925e-08],[4.740683779989539e-08],[0.31317879241117746]
302,[8.210480259387819e-08],[0.001979974457531264],[3.4922900923006815e-08],[5.054524766313226e-08],[0.4441647774767181]
303,[8.76945774387898e-08],[0.0019799594823727918],[3.871193708556676e-08],[5.6142747497416926e-08],[0.5953695318646015]
304,[9.30946066782761e-08],[0.001980035658760609],[4.006524899308268e-08],[5.0666323083280285e-08],[0.5301016928664021]
305,[8.74238346859533e-08],[0.001979955368528647],[3.815695222032396e-08],[5.501049173727894e-08],[0.49434781824323065]
306,[7.765546982946199e-08],[0.00197995039334136],[3.455395006045013e-08],[4.6418327161857714e-08],[0.31252649317264397]
307,[7.415988892422207e-08],[0.001979844200574276],[3.4694736178545925e-08],[4.740683779989539e-08],[0.31317879241117746]
