time	NAA Phase	NAA Amp	NPM Phase	NPM Amp
366	95.41874	0.7727698	134.5928	-4.427981
367	95.26359	0.6230725	128.0503	-4.304683
368	95.19861	0.6408789	132.8398	-4.313335
369	95.28022	0.5738782	131.2853	-4.404751
370	95.46111	0.5867505	132.0059	-4.367744
371	97.08307	0.6049646	128.9638	-3.983315
372	95.5633	0.7337524	131.5159	-4.329548
373	95.63642	0.6641577	129.6655	-4.396462
374	95.90023	0.7045764	128.9904	-4.149861
375	96.55332	0.6014136	128.973	-4.574282
376	95.24925	0.6948559	129.8178	-4.271975
377	95.36871	0.6364026	131.7218	-4.664006
378	94.20353	0.6277002	131.0671	-4.37251
379	95.61442	0.6716699	132.2194	-4.326848
380	94.94942	0.5809436	130.5058	-4.248782
381	95.94359	0.5830371	127.5252	-4.576794
382	96.76201	0.5120056	133.7111	-4.586199
383	95.40785	0.5004944	129.2924	-3.809136
384	95.41244	0.5702197	128.4323	-4.092766
385	94.95068	0.5126172	130.985	-4.29374
386	95.65515	0.4594678	128.3151	-4.111396
387	95.69849	0.5238965	126.4473	-4.520923
388	95.77607	0.5385474	128.4887	-4.335972
389	95.64047	0.5221081	129.3282	-4.097673
390	94.92597	0.505498	129.4875	-4.884807
391	94.65915	0.692771	131.8177	-4.399526
392	94.66234	0.6257031	129.6833	-4.517204
393	95.05734	0.6015027	127.2264	-4.260908
394	94.75491	0.6902466	130.1827	-4.31873
395	95.45737	0.4438708	127.1997	-3.941311
396	94.15933	0.7401794	126.947	-4.314258
397	94.54551	0.6376904	128.6087	-4.17197
398	94.75181	0.571095	129.852	-4.27854
399	94.52991	0.6361474	127.3185	-4.328091
400	94.75872	0.541947	125.8698	-4.073982
401	95.56503	0.6033459	129.017	-4.351401
402	95.86088	0.49198	127.1896	-4.1449
403	94.89092	0.5226269	129.229	-4.385244
404	95.26865	0.5538721	126.8597	-4.512937
405	95.03212	0.5344995	128.4184	-3.762046
406	93.85045	0.4909704	128.0946	-4.01706
407	94.02368	0.4596899	128.2946	-4.45417
408	93.90035	0.5906616	128.6134	-3.955842
409	92.91587	0.4740308	128.9785	-4.103208
410	93.27276	0.4403699	129.0809	-4.138144
411	93.64931	0.481958	128.1812	-4.136787
412	93.85647	0.5517615	129.0503	-3.750354
413	92.99674	0.584414	128.1317	-4.135928
414	94.445	0.4388818	126.1565	-4.175449
415	94.29358	0.4607251	127.3688	-3.661045
416	93.35307	0.5621423	128.6173	-4.108428
417	93.95953	0.5438953	128.2016	-4.586101
418	94.38911	0.5290649	127.9431	-3.902349
419	93.96772	0.3744031	127.8554	-4.151953
420	94.12927	0.4807922	129.5315	-3.968865
421	93.88384	0.3468445	128.4628	-4.427944
422	93.479	0.3639917	127.5842	-3.917727
423	93.01526	0.4543371	129.2497	-4.039631
424	93.57042	0.5023645	127.3683	-3.875854
425	92.72589	0.5782641	129.0312	-4.02865
426	94.43431	0.6211047	126.8467	-3.879751
427	93.71667	0.4152295	125.6917	-4.066103
428	92.66848	0.3787927	128.9321	-4.097942
429	94.10416	0.6739624	125.5826	-4.196553
430	93.48472	0.4007727	128.6803	-3.755891
431	93.22484	0.5076794	126.3856	-4.085203
432	94.14087	0.367876	127.2463	-4.087746
433	92.7153	0.4684839	125.5982	-4.059414
434	93.69074	0.343385	126.6683	-4.15844
435	94.08527	0.5050793	129.1299	-4.079114
436	94.59943	0.314043	126.225	-3.720066
437	93.68353	0.6160119	128.5256	-3.954104
438	93.55155	0.4737622	128.1689	-3.830312
