time	NAA Phase	NAA Amp	NPM Phase	NPM Amp
345	14.62926	24.51515	-56.48724	30.89515
346	12.41501	24.21409	-56.24818	30.88621
347	14.15236	24.46881	-55.59325	30.93095
348	16.42415	24.52855	-56.3566	31.0936
349	13.4923	24.57445	-56.24509	30.94262
350	11.97363	24.67922	-56.94182	30.71672
351	13.55754	24.43414	-56.97414	30.99549
352	12.52564	24.50494	-55.931	31.04409
353	11.585	24.48791	-56.42156	31.09592
354	10.38691	26.13066	-60.28105	31.75445
355	13.08078	24.47529	-56.39579	30.95977
356	11.29154	24.42754	-56.59836	31.03028
357	12.74156	24.38381	-56.45844	31.02428
358	12.569	24.5188	-56.65178	31.1852
359	11.33922	24.40496	-56.46581	31.02506
360	12.34965	24.30664	-56.97782	31.11664
361	11.69933	24.36814	-56.8459	31.00983
362	11.27421	24.28376	-56.97914	31.00631
363	11.78618	24.37999	-58.41035	30.95729
364	11.30433	24.6396	-57.03231	31.06797
365	11.58666	24.33667	-57.11603	31.22674
366	9.879266	24.49265	-57.84235	30.97777
367	9.841348	24.91707	-60.11144	31.01232
368	10.93571	24.29173	-57.88084	31.16575
369	10.68257	24.38709	-58.25711	31.18574
370	12.14498	24.79354	-57.34804	31.14607
371	12.97277	24.53546	-57.42173	31.16944
372	17.7602	25.30115	-55.6782	31.43521
373	12.89937	24.22375	-55.744	31.29404
374	11.56085	24.21633	-57.54215	31.27045
375	10.19834	24.23191	-57.52121	31.21151
376	11.34101	24.17887	-56.9867	31.07143
377	10.65837	24.14212	-57.35856	31.14331
378	11.89894	24.03786	-57.4667	31.15854
379	12.63366	24.3879	-57.12947	31.2035
380	10.80706	24.35323	-58.14954	31.04858
381	11.00303	23.99519	-58.06998	31.19443
382	10.13335	24.25222	-57.57882	31.11191
383	11.21148	24.08005	-58.04757	31.11046
384	12.61011	24.07306	-58.56211	31.08578
385	9.571251	24.37433	-57.44282	31.16166
386	9.229811	23.95667	-57.42171	31.13913
387	12.21976	24.2656	-57.32971	31.21947
388	10.05503	24.12437	-57.94688	31.30487
389	8.823482	23.90212	-58.61859	31.14048
390	9.240577	23.94285	-58.19143	31.00876
391	9.904007	23.81746	-58.19188	31.1331
392	10.10296	23.80407	-58.49877	31.15568
393	10.83988	23.84906	-58.51027	31.22257
394	10.66367	23.70744	-58.27387	31.17747
395	9.33713	23.82116	-57.88118	31.21369
396	10.32508	23.77535	-58.86116	31.20808
397	10.92813	24.08051	-58.33314	31.37811
398	9.362371	24.83758	-58.41965	31.38501
399	8.427714	23.99532	-57.72007	31.21827
400	9.930855	23.72017	-59.13667	31.14022
401	9.83265	23.65867	-57.57579	31.10172
402	10.56657	23.63478	-58.7664	31.2164
403	12.11261	24.07683	-59.6532	31.17052
404	10.48619	23.85132	-60.02386	31.33691
405	9.389245	23.67985	-59.04864	31.14546
406	10.84803	23.41578	-59.79228	31.1642
407	8.861615	23.71754	-58.86028	31.12954
408	9.611884	23.64094	-59.24575	31.2774
409	9.160248	23.59001	-59.44577	31.24869
410	11.88179	24.16193	-60.02344	31.60695
411	10.53362	23.94123	-59.01938	31.44218
412	9.01753	23.35536	-59.24631	31.31966
413	10.57588	23.66729	-59.79087	31.33562
414	10.40743	23.81811	-59.32072	31.31187
415	8.866451	23.75125	-59.66351	31.28846
416	8.35672	23.62474	-59.62429	31.3205
417	8.645077	23.44836	-59.69462	31.31461
418	9.245472	23.57961	-59.03855	31.18811
419	9.454902	23.47107	-59.24433	31.27558
420	10.23557	23.76607	-60.83272	31.27895
421	7.341745	24.17506	-60.50823	31.53759
422	8.942382	23.69951	-59.92359	31.24004
423	9.55734	23.86155	-59.21441	31.39104
424	12.46269	23.486	-56.96349	31.45506
425	9.978073	23.51399	-59.62473	31.41521
426	9.238	23.44785	-60.04281	31.35259
427	7.948092	23.37249	-60.19186	31.31862
428	9.896664	23.87516	-60.50022	31.40588
429	9.009781	23.49162	-60.28545	31.38456
430	9.50576	23.24228	-60.28306	31.2266
431	9.012436	23.33156	-60.48874	31.39485
432	9.95705	23.37488	-60.90243	31.34518
433	8.678396	23.19839	-60.46515	31.28151
434	10.30968	23.30342	-60.23551	31.26167
435	9.895239	23.26288	-59.78837	31.39337
436	7.722457	23.2062	-61.18689	31.27062
437	10.63373	23.07032	-60.05378	31.29341
438	10.9058	23.17575	-59.92541	31.27782
439	10.06135	23.20178	-61.27314	31.25439
440	10.86074	23.3222	-60.25145	31.35631
441	10.74957	23.15758	-60.85904	31.53609
442	9.997133	23.07206	-61.48497	31.39522
443	10.89665	23.4602	-61.19615	31.34371
444	10.00403	23.2376	-60.87612	31.20952
445	9.526916	23.3938	-59.80125	31.48532
446	10.97933	23.28111	-61.74989	31.75773
447	10.61624	23.4658	-60.98835	31.45538
448	10.26953	23.11203	-60.87444	31.35744
449	11.77073	23.19222	-61.49392	31.40229
450	11.33641	23.26325	-61.46375	31.38004
451	11.93865	23.24093	-60.96964	31.32408
452	15.73995	24.73017	-62.75738	31.51232
453	11.38064	23.99372	-60.57161	31.31464
454	12.03998	23.22627	-61.56946	31.36601
455	11.41962	23.32905	-61.84281	31.59482
456	12.08456	23.55047	-61.96586	31.25015
457	14.22565	22.86105	-61.38546	31.41603
458	10.07859	23.41812	-60.86062	31.39806
459	11.24005	23.17993	-61.25782	31.47158
460	12.19351	23.54059	-62.50659	31.56047
461	13.0234	23.35144	-61.66719	31.55862
462	11.26195	23.36194	-61.7571	31.45347
463	12.31816	23.40981	-61.12007	31.42824
464	12.52746	23.52396	-61.37289	31.52021
465	14.14444	23.27666	-61.56783	31.34842
466	11.33174	23.0075	-62.55735	31.49243
467	10.05717	23.08409	-61.41024	31.47566
468	11.52556	23.31692	-62.36898	31.55752
469	12.70261	23.44589	-61.8065	31.40549
470	12.95477	23.14833	-61.53581	31.60996
471	13.00673	22.88955	-62.26673	31.49698
472	12.52185	23.2194	-61.829	31.47999
473	13.21505	23.04897	-62.11116	31.43338
474	13.79869	23.02233	-62.09564	31.36431
475	14.28773	24.14393	-62.8079	31.39224
476	14.47981	23.04054	-61.95958	31.49243
477	13.19995	23.38068	-62.92879	31.44248
478	13.53771	23.25749	-62.09531	31.54992
479	13.07463	23.5726	-62.04183	31.39773
480	12.79287	23.57747	-62.01746	31.2714
481	14.31518	23.39978	-61.85346	31.54281
482	15.38603	23.41636	-62.36845	31.44825
483	13.54843	23.52211	-62.10947	31.52842
484	12.6434	23.90525	-63.19002	31.48073
485	13.99455	23.49729	-61.9055	31.44196
486	13.93191	23.12322	-63.02594	31.47777
487	13.82005	23.1758	-62.40405	31.57932
488	17.34113	23.53135	-61.85377	31.52076
489	14.23423	23.54897	-62.11744	31.36067
490	11.9037	23.55042	-62.98091	31.44231
491	15.53743	23.37023	-63.3934	31.43591
492	16.00844	23.45205	-63.34083	31.46553
493	14.04745	23.49281	-63.02618	31.49811
494	14.71881	23.21211	-62.78776	31.58266
495	14.44571	23.49763	-63.652	31.57604
496	14.56329	23.81442	-63.44798	31.85509
497	14.44498	23.39895	-63.14638	31.45489
498	13.65894	23.48191	-63.13627	31.62864
499	14.25368	23.61818	-63.32299	31.50527
500	13.88944	23.69708	-63.6971	31.66935
501	13.50425	23.76067	-62.44974	31.51296
502	13.76378	23.62229	-63.40839	31.71971
503	13.07545	23.63329	-62.70395	31.48711
504	13.27935	23.78128	-62.93738	31.57731
505	13.95512	23.67007	-64.5506	31.60341
506	14.02184	23.70505	-63.38469	31.58771
507	13.62316	23.77851	-63.73616	31.65475
508	15.20864	23.83311	-63.41934	31.51027
509	13.51424	23.52711	-63.45279	31.63205
510	14.51477	23.68064	-63.4024	31.52044
511	12.47963	23.96592	-64.30641	31.67316
512	13.10516	23.86382	-64.13682	31.59201
513	11.93862	23.79793	-63.42738	31.48861
514	13.63927	23.96294	-63.58441	31.7541
515	13.16712	24.03341	-63.12173	31.69432
516	13.09839	23.87165	-63.53729	31.72297
517	13.61098	23.83618	-63.44841	31.68218
518	11.77449	24.12826	-64.07091	31.65392
519	12.02554	24.20339	-62.99987	31.51908
520	12.53808	24.28133	-63.30408	31.64047
521	12.5045	24.22744	-63.39616	31.53319
522	13.32662	24.08685	-63.11229	31.581
523	12.49547	24.22851	-63.09865	31.65009
524	12.62223	24.05293	-63.51071	31.58074
525	12.86718	24.11841	-63.0288	31.5976
526	13.51958	24.01043	-63.38978	31.74011
527	12.54066	24.52402	-64.42195	31.63131
528	13.36481	24.10451	-64.07058	31.7179
529	11.1205	24.28065	-62.96159	31.60305
530	12.55432	24.5873	-65.49942	31.65056
531	14.44926	24.58373	-63.46461	31.69679
532	12.23699	24.32754	-64.44092	31.65664
533	14.28684	24.46582	-64.09799	32.49913
534	11.15103	24.44141	-63.88787	31.71447
535	10.60842	25.11166	-65.51505	31.85044
536	10.139	24.57149	-63.97569	31.66848
537	10.49547	25.33271	-62.12902	32.0694
538	14.01858	24.62093	-63.98772	31.77179
539	11.53951	24.25169	-63.90075	31.73004
540	10.55279	24.73339	-64.77464	31.71587
541	10.24812	24.37343	-64.77979	31.87086
542	12.13789	24.36671	-63.52333	31.91503
543	11.55492	24.52578	-64.76834	31.99456
544	10.38086	24.63493	-63.98592	31.70535
545	11.1911	24.39625	-64.46916	31.7706
546	10.59402	24.37522	-65.35573	31.75593
547	9.521155	24.29668	-65.27842	31.79773
548	11.25807	24.38626	-65.63085	31.69129
549	11.36738	24.41219	-64.82609	31.70191
550	10.70572	24.38684	-65.65076	31.73505
551	10.71994	24.37549	-64.81426	31.86362
552	10.56302	24.50188	-65.13116	31.8256
553	10.69128	24.53182	-65.24181	31.57312
554	9.223313	24.40746	-63.87821	31.83783
555	12.07614	24.6854	-64.66763	31.71757
556	8.931739	24.34986	-67.27271	31.8721
557	9.848698	24.35821	-65.69352	31.76676
558	9.886612	24.41463	-65.1284	31.75578
559	9.566435	24.37642	-65.71293	31.72391
560	9.605162	24.37471	-65.39224	31.76407
561	8.238104	24.4964	-65.80406	31.81069
562	9.398985	24.33939	-66.23517	31.74321
563	10.16792	24.42538	-65.2445	31.77336
564	8.297254	24.40906	-65.83785	31.70694
565	12.59761	24.79824	-66.1359	31.88411
566	8.77859	24.52125	-65.7147	31.76203
567	8.342151	24.57487	-66.2034	31.83647
568	8.567583	24.3404	-66.34541	31.77624
569	7.127991	24.52176	-65.26983	31.88279
570	7.380912	24.23148	-66.43463	31.76731
571	7.926767	24.56559	-66.21662	31.80676
572	7.490576	24.19863	-66.38817	31.72852
573	7.331897	24.80789	-66.06174	31.88897
574	8.375321	24.43792	-66.80257	31.69705
575	7.632632	24.53446	-65.8367	31.97296
576	9.050827	24.41965	-66.23827	31.73567
577	11.02914	24.41567	-65.21919	31.72528
578	7.008633	24.40733	-66.6774	31.89424
579	8.849946	24.38591	-65.99461	31.83748
580	6.009081	24.42317	-66.99521	31.89664
581	5.607842	24.25476	-66.58589	31.83585
582	7.585733	24.39425	-66.61687	31.92255
583	7.708494	24.41573	-66.61063	31.88804
584	6.446755	24.37751	-66.47777	31.86012
585	9.366123	25.39676	-68.05074	32.05573
586	9.601066	25.14156	-68.05243	31.95818
587	6.029748	24.47597	-66.53681	32.45833
588	7.567217	24.44809	-67.06252	32.10844
589	7.256373	24.43644	-66.95586	32.06572
590	7.282819	24.48648	-67.047	32.06033
591	5.918676	24.23907	-66.86074	31.94828
592	6.734882	24.49528	-66.60501	32.03567
593	6.973864	24.31822	-67.09197	32.01931
594	7.353058	24.19971	-66.85291	32.01299
595	5.701713	24.36932	-66.54477	31.89477
596	7.206037	24.29085	-65.81058	32.12896
597	5.955827	24.38774	-67.03357	31.95475
598	6.710993	24.5133	-67.15632	31.94724
599	7.274918	24.29806	-66.89579	32.05018
600	5.410629	24.31432	-66.75327	32.01193
601	4.448953	24.42796	-66.49901	32.08986
602	5.087707	24.39656	-66.68498	32.04517
