time	NAA-L Phase	NAA-L Amp	NPM-L Phase	NPM-L Amp
479	61.42645	24.12729	85.22563	31.51888
480	59.13594	24.17604	83.80721	31.48736
481	60.1959	24.08526	85.10515	31.36308
482	61.0104	23.92885	85.26527	31.53001
483	61.75325	24.25056	83.73921	31.62623
484	62.41695	24.53054	83.54898	31.45349
485	63.00912	24.10802	83.78169	31.72621
486	62.95553	24.12785	85.19685	31.62527
487	61.86049	24.04531	84.09457	31.57702
488	61.38513	24.0038	83.96393	31.52658
489	61.73018	23.86744	84.68995	31.56116
490	63.25443	24.03245	83.94488	31.6225
491	61.92812	23.96914	84.53382	31.69133
492	63.73321	24.06762	84.06371	31.56747
493	64.01542	24.38626	84.04764	31.63772
494	63.78951	24.00405	83.46564	31.67858
495	63.15727	23.883	84.54542	31.74082
496	63.01811	24.12138	83.81944	31.47894
497	61.20182	24.15289	83.67024	31.7548
498	63.0685	24.00589	83.67257	31.66483
499	59.66687	24.29445	84.49153	32.05465
500	62.97852	24.28968	84.69446	31.91174
501	61.95315	24.14359	83.29745	31.81837
502	62.04451	24.12964	83.83033	31.77324
503	62.88743	24.01591	84.2786	31.70316
504	62.55238	24.34243	83.6906	31.84028
505	60.73898	24.21494	83.85599	31.84982
506	62.0667	23.97036	84.10881	31.79722
507	62.55821	24.14383	83.82568	31.73563
508	61.46823	24.0094	84.05274	31.88568
509	61.91956	23.93706	84.12939	31.7441
510	62.43365	23.91751	84.43124	31.78237
511	61.97323	23.94622	83.81754	31.88027
512	60.97413	24.00194	83.88704	31.94444
513	63.18362	24.15007	83.72108	31.95468
514	63.98258	23.58738	83.05487	31.71627
515	62.59126	23.71001	82.90426	31.74216
516	62.94311	23.85291	83.57702	31.86544
517	61.76727	24.0707	83.9169	31.82976
518	62.80508	24.1872	82.86573	31.88699
519	62.6274	24.06083	83.08221	31.93768
520	65.03693	23.6418	83.15498	31.75912
521	63.36218	23.88667	83.3206	31.70658
522	61.30515	23.67805	82.94991	31.93573
523	59.09808	23.9617	83.53082	31.87823
524	63.45246	24.24175	83.72327	31.86244
525	62.00185	23.90075	82.86142	31.90693
526	61.99927	23.96515	82.69587	31.98265
527	63.54242	24.18646	82.8686	31.86398
528	62.86249	24.61525	82.83781	31.7662
529	64.40448	24.19419	81.74496	31.89101
530	65.87103	24.36679	82.39401	31.86329
531	64.10207	24.37783	84.41341	32.00351
532	60.66276	24.5399	80.67068	31.86967
533	63.86181	24.47675	82.00212	31.90945
534	64.91413	24.08197	82.24264	31.92063
535	63.96723	23.80478	81.94401	31.86918
536	64.66122	23.75294	82.40647	31.77813
537	65.93335	24.22269	82.27854	31.83062
538	64.06082	24.02811	82.55383	31.80039
539	63.25648	23.9278	81.08723	31.87046
540	63.43567	24.0331	82.45006	32.02563
541	63.91197	24.048	81.71959	31.84024
542	64.49268	24.16553	82.57604	32.08234
543	64.89684	24.08025	81.61067	31.89033
544	62.93937	24.28703	81.97981	31.96154
545	65.3782	24.3112	81.65016	32.16489
546	64.49907	24.42157	81.77416	31.96716
547	64.01127	24.25999	82.31997	31.92636
548	63.78112	24.67807	82.8864	31.92337
549	63.48832	24.0373	81.46018	31.91923
550	64.33018	24.04886	81.35103	31.96722
551	64.64494	23.97302	81.4986	31.89258
552	62.28342	24.20013	81.15884	31.92106
553	64.54235	23.96322	81.29364	31.90218
554	66.06384	24.07011	81.19579	31.88959
555	64.00363	24.24274	82.23791	31.90162
556	63.36596	24.39166	81.53764	32.04319
557	64.12138	24.34644	81.07327	31.89645
558	66.61748	24.51119	81.06014	31.93093
559	63.76165	24.31107	81.07938	31.93657
560	65.65744	24.10782	81.54826	31.99639
561	64.75674	24.07791	81.7259	31.88618
562	64.78868	24.30713	81.80402	32.00428
563	63.71476	24.42133	81.88131	32.04674
564	62.76052	24.1015	82.23747	31.89975
565	67.24107	24.40092	81.85911	32.1845
566	67.04753	24.5228	80.84084	32.08081
567	64.97715	24.36628	80.97544	32.07436
568	63.17094	24.77995	81.07619	32.04528
569	63.88156	24.64709	82.2377	32.08254
570	64.37085	24.24875	80.95589	32.09921
571	64.89402	24.34709	82.23315	31.95568
572	65.58162	24.35455	81.7357	31.93393
573	64.28005	24.00343	81.16797	32.10007
574	64.13488	24.23681	80.81752	32.10872
575	63.89112	24.26851	81.09573	32.01453
576	61.03227	24.67977	82.44432	32.2693
577	63.91728	24.36029	81.24945	32.24788
578	64.91251	24.32566	80.86562	32.17882
579	64.40896	24.09596	80.92028	32.16549
580	63.56884	24.14374	80.96629	32.17388
581	63.28494	24.15925	80.40414	32.29837
582	63.2672	24.11608	80.57439	32.08356
583	61.53861	24.12224	81.6209	32.16765
584	62.84698	24.10242	80.76352	32.29208
585	63.87358	24.19048	79.45247	32.13444
586	62.37793	24.1129	80.56778	32.27375
587	63.03987	24.20443	80.2852	32.11052
588	62.63844	24.25122	80.44773	32.25007
589	62.00185	24.17192	80.27198	32.13149
590	62.94621	24.04822	80.34168	32.11153
591	65.13315	24.30697	80.67366	32.13867
592	64.83017	24.10904	79.8134	32.12729
593	64.80993	23.99699	80.7806	32.06976
594	63.83835	24.4194	80.58137	32.21065
595	64.91797	24.55441	79.87723	32.4544
596	64.48068	24.50472	80.56329	32.19278
597	65.58423	24.42615	80.67641	32.24723
598	64.17674	24.29693	80.2481	32.09532
599	64.42853	24.24549	80.51508	32.19642
600	63.12232	24.2629	80.46458	32.30681
601	64.66961	24.08213	79.85384	32.31173
602	63.04888	24.33464	80.04536	32.30473
603	63.72128	24.20528	80.67838	32.26708
604	63.67736	24.01394	79.89366	32.24966
605	64.27171	24.34371	79.81093	32.24587
606	63.13784	24.26606	79.21956	32.34545
607	64.18584	24.14708	80.39883	32.26514
608	64.14725	24.24357	80.24339	32.26348
609	64.11326	24.55617	80.21162	32.23619
610	64.60278	24.20681	80.12253	32.34316
611	65.27488	24.20994	80.10739	32.3145
612	63.74503	24.26381	80.08634	32.28531
613	63.94785	24.29313	80.12526	32.46086
614	64.27669	24.32715	79.37625	32.27869
615	64.94491	24.07454	79.22377	32.34806
616	65.13258	24.27309	81.06601	32.25962
617	64.37153	24.03929	79.51754	32.19754
618	66.10184	24.1443	79.51886	32.237
619	62.55539	24.5983	80.74652	32.28581
620	62.74831	24.01396	79.91199	32.22986
621	63.04129	23.97088	79.21128	32.44967
622	62.31649	24.45438	78.73032	32.39277
623	64.07532	24.19559	79.08972	32.25347
624	64.73558	24.25141	79.87109	32.31414
625	63.3425	24.23153	79.44511	32.35647
626	62.51948	24.2235	79.95235	32.33507
627	62.91341	24.13908	79.64567	32.34645
628	62.14813	24.19446	78.84254	32.44588
